"ple0008","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Good","1994","in school","113","0.487598067601986","0.424227804841589","0.550968330362382","2"
"Good","1994","inadequately","190","0.348666052616435","0.309090482223266","0.388241623009604","2"
"Good","1994","middle vocational","2692","0.379025258029481","0.367307588507896","0.390742927551067","2"
"Good","1994","vocational + Abi","200","0.507691957448777","0.458264255070626","0.557119659826929","2"
"Good","1994","higher vocational","306","0.377100883869528","0.342552731545613","0.411649036193442","2"
"Good","1994","general elemantary","872","0.284272092722856","0.266632873307612","0.3019113121381","2"
"Less good","1994","middle vocational","853","0.151376116303971","0.142719333806194","0.160032898801747","4"
"Less good","1994","higher education","183","0.112129580317766","0.0969143699452821","0.12734479069025","4"
"Less good","1994","in school","10","","","","4"
"Less good","1994","general elemantary","436","0.202193908665593","0.186487713802948","0.217900103528239","4"
"Less good","1994","higher vocational","113","0.17451025211668","0.147454880207809","0.20156562402555","4"
"Less good","1994","inadequately","112","0.150347479553751","0.120665747214934","0.180029211892567","4"
"Less good","1994","vocational + Abi","42","0.101839621210103","0.071938522279888","0.131740720140317","4"
"Poor","1994","higher education","37","0.0274626752051807","0.0195819237863262","0.0353434266240352","5"
"Poor","1994","middle vocational","214","0.0423154599278793","0.0374532806005173","0.0471776392552413","5"
"Poor","1994","vocational + Abi","9","","","","5"
"Poor","1994","higher vocational","25","","","","5"
"Poor","1994","in school","","","","","5"
"Poor","1994","inadequately","44","0.105737493952694","0.0802006330346887","0.131274354870699","5"
"Poor","1994","general elemantary","142","0.0754402352103967","0.0651124479059649","0.0857680225148286","5"
"Satisfactory","1994","vocational + Abi","91","0.239492022422651","0.197298165234692","0.281685879610611","3"
"Satisfactory","1994","higher education","513","0.309739807737274","0.287442727546283","0.332036887928264","3"
"Satisfactory","1994","middle vocational","2166","0.347489165662132","0.335988189611468","0.358990141712796","3"
"Satisfactory","1994","in school","34","0.135414401942311","0.0920347995525832","0.178794004332038","3"
"Satisfactory","1994","inadequately","162","0.296859114847546","0.258917408086479","0.334800821608614","3"
"Satisfactory","1994","general elemantary","808","0.356358360597368","0.337629825214152","0.375086895980585","3"
"Satisfactory","1994","higher vocational","254","0.334757455869095","0.301118513683549","0.368396398054641","3"
"Very good","1994","in school","82","0.334573841272626","0.274754026136037","0.394393656409216","1"
"Very good","1994","inadequately","49","0.0983898590295742","0.0736552496303899","0.123124468428758","1"
"Very good","1994","general elemantary","254","0.0817354028037852","0.0710220033636491","0.0924488022439212","1"
"Very good","1994","middle vocational","660","0.0797940000765365","0.073249177917041","0.0863388222360319","1"
"Very good","1994","vocational + Abi","51","0.123946234359887","0.0913675257970295","0.156524942922744","1"
"Very good","1994","higher vocational","58","0.0688136382694136","0.0507692253519068","0.0868580511869205","1"
"Very good","1994","higher education","150","0.0893217862268893","0.0755685708948498","0.103075001558929","1"
"Good","1995","higher education","795","0.442554332285532","0.419336416788354","0.46577224778271","2"
"Good","1995","in school","143","0.519611507344311","0.46140245200319","0.577820562685432","2"
"Good","1995","inadequately","175","0.341343987844285","0.301165215837378","0.381522759851192","2"
"Good","1995","middle vocational","2816","0.385866380977773","0.374243861842116","0.39748890011343","2"
"Good","1995","vocational + Abi","242","0.517111924977317","0.472361635280791","0.561862214673843","2"
"Good","1995","higher vocational","317","0.393135662016807","0.358477713580886","0.427793610452727","2"
"Good","1995","general elemantary","871","0.288410747222127","0.270687975635664","0.306133518808589","2"
"Less good","1995","middle vocational","881","0.151492595603311","0.14293259324347","0.160052597963152","4"
"Less good","1995","higher education","168","0.103272328671881","0.089047045301768","0.117497612041994","4"
"Less good","1995","in school","10","","","","4"
"Less good","1995","general elemantary","462","0.216952251937984","0.20082770822534","0.233076795650627","4"
"Less good","1995","higher vocational","91","0.124795023121769","0.101345212255461","0.148244833988076","4"
"Less good","1995","inadequately","121","0.244948385340847","0.208506837865722","0.281389932815971","4"
"Less good","1995","vocational + Abi","41","0.0796867452749334","0.0554350994430905","0.103938391106776","4"
"Poor","1995","middle vocational","229","0.0430297343313164","0.0381848443758665","0.0478746242867663","5"
"Poor","1995","higher education","36","0.0166550752000256","0.0106728205637674","0.0226373298362838","5"
"Poor","1995","higher vocational","22","","","","5"
"Poor","1995","vocational + Abi","12","","","","5"
"Poor","1995","in school","1","","","","5"
"Poor","1995","inadequately","28","","","","5"
"Poor","1995","general elemantary","152","0.081697698661679","0.070982284091829","0.092413113231529","5"
"Satisfactory","1995","vocational + Abi","128","0.253909177588397","0.21493155172382","0.292886803452975","3"
"Satisfactory","1995","higher education","586","0.348069310971177","0.325801771276088","0.370336850666267","3"
"Satisfactory","1995","middle vocational","2213","0.34901863191438","0.337638194674809","0.360399069153951","3"
"Satisfactory","1995","in school","44","0.147320237626492","0.10602698849813","0.188613486754854","3"
"Satisfactory","1995","inadequately","179","0.302492866419522","0.263570154179887","0.341415578659158","3"
"Satisfactory","1995","general elemantary","767","0.33888113066507","0.320363956969356","0.357398304360783","3"
"Satisfactory","1995","higher vocational","270","0.358653642238458","0.324623030101111","0.392684254375805","3"
"Very good","1995","in school","85","0.297008198101602","0.243771118699066","0.350245277504138","1"
"Very good","1995","inadequately","32","0.0667903674754381","0.0456351388601168","0.0879455960907594","1"
"Very good","1995","general elemantary","258","0.0740581715131408","0.0638136996366967","0.0843026433895849","1"
"Very good","1995","middle vocational","600","0.07059265717322","0.0644771401809257","0.0767081741655143","1"
"Very good","1995","vocational + Abi","56","0.121746281573518","0.0924631050317516","0.151029458115285","1"
"Very good","1995","higher vocational","63","0.0842441985587316","0.0645360574600467","0.103952339657417","1"
"Very good","1995","higher education","173","0.0894489528713836","0.0761082584891035","0.102789647253664","1"
"Good","1996","higher education","837","0.473509135468904","0.45023537492051","0.496782896017297","2"
"Good","1996","in school","133","0.437406313508431","0.380702224634455","0.494110402382407","2"
"Good","1996","inadequately","150","0.301216678555312","0.260759518876174","0.34167383823445","2"
"Good","1996","middle vocational","2646","0.364107463459308","0.352525952259132","0.375688974659483","2"
"Good","1996","vocational + Abi","244","0.528492989490371","0.483742495346143","0.573243483634598","2"
"Good","1996","higher vocational","318","0.37837108919859","0.344071252226732","0.412670926170448","2"
"Good","1996","general elemantary","814","0.287602182353017","0.269508030192541","0.305696334513492","2"
"Less good","1996","middle vocational","834","0.142890153292529","0.134466936657922","0.151313369927136","4"
"Less good","1996","higher education","183","0.104433802177662","0.0901785024776629","0.118689101877661","4"
"Less good","1996","in school","16","","","","4"
"Less good","1996","general elemantary","418","0.208610283359042","0.192368118390963","0.224852448327121","4"
"Less good","1996","higher vocational","87","0.152880622697124","0.127428968703644","0.178332276690604","4"
"Less good","1996","inadequately","99","0.17993799433034","0.146063766844934","0.213812221815747","4"
"Less good","1996","vocational + Abi","41","0.0889538311709887","0.0634334789193021","0.114474183422675","4"
"Poor","1996","middle vocational","210","0.0407754154524052","0.0360152951922829","0.0455355357125275","5"
"Poor","1996","higher education","34","0.0213165821552486","0.0145839193846645","0.0280492449258326","5"
"Poor","1996","higher vocational","25","","","","5"
"Poor","1996","vocational + Abi","12","","","","5"
"Poor","1996","in school","1","","","","5"
"Poor","1996","inadequately","36","0.102696052681553","0.0759271060925258","0.129464999270581","5"
"Poor","1996","general elemantary","140","0.0765203185807286","0.0658939979385738","0.0871466392228834","5"
"Satisfactory","1996","in school","48","0.166886713013333","0.12426436834305","0.209509057683617","3"
"Satisfactory","1996","inadequately","173","0.338518801601156","0.296790110140801","0.38024749306151","3"
"Satisfactory","1996","vocational + Abi","125","0.241946898136928","0.203554610860346","0.28033918541351","3"
"Satisfactory","1996","higher education","554","0.308321462364574","0.286795578678324","0.329847346050824","3"
"Satisfactory","1996","middle vocational","2325","0.374941943821363","0.363289935962485","0.386593951680241","3"
"Satisfactory","1996","general elemantary","823","0.365714855465458","0.346462031928281","0.384967679002635","3"
"Satisfactory","1996","higher vocational","260","0.345005466373158","0.311385342684488","0.378625590061828","3"
"Very good","1996","in school","96","0.322625940754069","0.26918939850637","0.376062483001768","1"
"Very good","1996","inadequately","36","0.0776304728316386","0.0540336677295574","0.10122727793372","1"
"Very good","1996","general elemantary","209","0.0615523602417551","0.0519449079198198","0.0711598125636903","1"
"Very good","1996","middle vocational","616","0.0772850239743957","0.0708575543220446","0.0837124936267467","1"
"Very good","1996","vocational + Abi","56","0.116007123845199","0.0872992615042239","0.144714986186173","1"
"Very good","1996","higher vocational","78","0.0831604425078702","0.0636317778330712","0.102689107182669","1"
"Very good","1996","higher education","160","0.0924190178336121","0.0789191247634776","0.105918910903747","1"
"Good","1997","higher education","871","0.474773070631888","0.451529103398549","0.498017037865227","2"
"Good","1997","in school","150","0.46610713010788","0.411105636482305","0.521108623733456","2"
"Good","1997","middle vocational","2770","0.376610410707811","0.364840219178801","0.388380602236821","2"
"Good","1997","inadequately","159","0.342225004418904","0.299239729018646","0.385210279819163","2"
"Good","1997","vocational + Abi","235","0.509566278812943","0.463733045786316","0.55539951183957","2"
"Good","1997","higher vocational","321","0.377578377244945","0.343157930804409","0.411998823685482","2"
"Good","1997","general elemantary","818","0.279286314320501","0.261116066210143","0.297456562430859","2"
"Less good","1997","middle vocational","775","0.136277522192391","0.127943458369013","0.144611586015769","4"
"Less good","1997","higher education","169","0.104412113240202","0.0901782341779712","0.118645992302433","4"
"Less good","1997","in school","12","","","","4"
"Less good","1997","inadequately","93","0.226143814996487","0.188243078386729","0.264044551606245","4"
"Less good","1997","vocational + Abi","38","0.0755675928623695","0.0513352521817628","0.0997999335429761","4"
"Less good","1997","general elemantary","412","0.21907542549122","0.202323835976662","0.235827015005777","4"
"Less good","1997","higher vocational","90","0.12941283232773","0.105580562505024","0.153245102150436","4"
"Poor","1997","higher education","28","","","","5"
"Poor","1997","middle vocational","242","0.0470004443621005","0.0418593576638446","0.0521415310603564","5"
"Poor","1997","vocational + Abi","8","","","","5"
"Poor","1997","higher vocational","20","","","","5"
"Poor","1997","in school","2","","","","5"
"Poor","1997","inadequately","35","0.0668332166860827","0.0442075709769916","0.0894588623951739","5"
"Poor","1997","general elemantary","119","0.0665499762141915","0.0564557244249148","0.0766442280034682","5"
"Satisfactory","1997","inadequately","155","0.308954022276477","0.267091483477694","0.350816561075261","3"
"Satisfactory","1997","vocational + Abi","126","0.274685298745614","0.233761971238067","0.315608626253161","3"
"Satisfactory","1997","in school","45","0.144550441421605","0.105779043132949","0.18332183971026","3"
"Satisfactory","1997","middle vocational","2174","0.361653676274365","0.349982027247389","0.37332532530134","3"
"Satisfactory","1997","higher education","560","0.316411115712006","0.294763150300985","0.338059081123027","3"
"Satisfactory","1997","general elemantary","798","0.372253913129958","0.3526760048929","0.391831821367017","3"
"Satisfactory","1997","higher vocational","271","0.389291508012538","0.354671668530206","0.423911347494869","3"
"Very good","1997","general elemantary","195","0.0628343708441292","0.0530064543602222","0.0726622873280361","1"
"Very good","1997","middle vocational","549","0.0784579464633327","0.0719261349424976","0.0849897579841679","1"
"Very good","1997","vocational + Abi","50","0.129906941454147","0.0990829396191101","0.160730943289184","1"
"Very good","1997","in school","107","0.354119315746722","0.30138959076173","0.406849040731714","1"
"Very good","1997","inadequately","26","","","","1"
"Very good","1997","higher vocational","60","0.0706134543254535","0.0524242992982126","0.0888026093526944","1"
"Very good","1997","higher education","145","0.0867563605194127","0.0736543569414179","0.0998583640974076","1"
"Good","1998","higher education","961","0.468423690301872","0.44640523829439","0.490442142309353","2"
"Good","1998","in school","164","0.432680028432746","0.379466331080215","0.485893725785278","2"
"Good","1998","inadequately","159","0.327229467175786","0.283732997187392","0.37072593716418","2"
"Good","1998","middle vocational","3022","0.395620951319929","0.384202638573114","0.407039264066745","2"
"Good","1998","vocational + Abi","283","0.543766750354123","0.500623496029943","0.586910004678303","2"
"Good","1998","higher vocational","349","0.389872919879541","0.356612344847","0.423133494912082","2"
"Good","1998","general elemantary","909","0.304760534964007","0.286908644371934","0.322612425556079","2"
"Less good","1998","in school","12","","","","4"
"Less good","1998","inadequately","91","0.187078791690217","0.150926916034811","0.223230667345623","4"
"Less good","1998","middle vocational","853","0.14025288668798","0.132144230997838","0.148361542378123","4"
"Less good","1998","higher education","185","0.102953106751981","0.0895436294371962","0.116362584066767","4"
"Less good","1998","general elemantary","399","0.185124251745665","0.170061129555428","0.200187373935901","4"
"Less good","1998","vocational + Abi","42","0.0762059193043953","0.0532235366483981","0.0991883019603924","4"
"Less good","1998","higher vocational","94","0.124504847119454","0.101989529905723","0.147020164333184","4"
"Poor","1998","higher education","48","0.0279643274657789","0.0206894138693174","0.0352392410622404","5"
"Poor","1998","middle vocational","238","0.041023029878408","0.0363914885064152","0.0456545712504007","5"
"Poor","1998","vocational + Abi","9","","","","5"
"Poor","1998","higher vocational","22","","","","5"
"Poor","1998","in school","3","","","","5"
"Poor","1998","inadequately","35","0.0922517090592089","0.0654251939307999","0.119078224187618","5"
"Poor","1998","general elemantary","142","0.0731838667213353","0.0630833843944199","0.0832843490482507","5"
"Satisfactory","1998","in school","35","0.114999925339783","0.0807352668892816","0.149264583790284","3"
"Satisfactory","1998","inadequately","142","0.331318533835783","0.287684351923501","0.374952715748066","3"
"Satisfactory","1998","middle vocational","2279","0.339160884993466","0.328105895283489","0.350215874703444","3"
"Satisfactory","1998","vocational + Abi","123","0.256036331616621","0.218232155979156","0.293840507254085","3"
"Satisfactory","1998","higher education","583","0.284556394457201","0.264647074490401","0.304465714424","3"
"Satisfactory","1998","general elemantary","836","0.352082130266011","0.333558776752224","0.370605483779799","3"
"Satisfactory","1998","higher vocational","278","0.344220695989324","0.311819920131924","0.376621471846724","3"
"Very good","1998","general elemantary","268","0.0848492163029818","0.0740421481514398","0.0956562844545237","1"
"Very good","1998","middle vocational","653","0.0839422471202163","0.0774669557517533","0.0904175384886792","1"
"Very good","1998","vocational + Abi","55","0.105101570950533","0.0785368910496669","0.131666250851398","1"
"Very good","1998","in school","119","0.402462220163732","0.349791262091115","0.455133178236349","1"
"Very good","1998","inadequately","20","","","","1"
"Very good","1998","higher vocational","83","0.105393756183208","0.0844535250378211","0.126333987328595","1"
"Very good","1998","higher education","196","0.116102481023167","0.101967141123878","0.130237820922456","1"
"Good","1999","higher vocational","343","0.40480192191282","0.371266774758215","0.438337069067426","2"
"Good","1999","higher education","911","0.45858926852793","0.436563467688107","0.480615069367754","2"
"Good","1999","vocational + Abi","253","0.479964686744053","0.436562634999524","0.523366738488583","2"
"Good","1999","middle vocational","2920","0.38770228848786","0.376252464653107","0.399152112322612","2"
"Good","1999","general elemantary","851","0.288620628925485","0.270689252200809","0.306552005650161","2"
"Good","1999","in school","164","0.491219671984762","0.436530845333087","0.545908498636437","2"
"Good","1999","inadequately","145","0.321427276719091","0.276973903044083","0.365880650394098","2"
"Less good","1999","middle vocational","881","0.147472692266319","0.139140135936582","0.155805248596057","4"
"Less good","1999","higher education","183","0.0966876587494838","0.0836241202903859","0.109751197208582","4"
"Less good","1999","in school","12","","","","4"
"Less good","1999","vocational + Abi","43","0.0964264277170891","0.0707834178847439","0.122069437549434","4"
"Less good","1999","higher vocational","96","0.140842658656723","0.117076902687568","0.164608414625878","4"
"Less good","1999","general elemantary","414","0.1961903907514","0.18047537647613","0.21190540502667","4"
"Less good","1999","inadequately","79","0.206277206943179","0.167762623077047","0.244791790809311","4"
"Poor","1999","middle vocational","236","0.0416283366580513","0.0369344800794309","0.0463221932366717","5"
"Poor","1999","vocational + Abi","10","","","","5"
"Poor","1999","higher education","55","0.0334225391865509","0.025477530310157","0.0413675480629448","5"
"Poor","1999","in school","3","","","","5"
"Poor","1999","inadequately","36","0.0796134866582867","0.0538476880497099","0.105379285266863","5"
"Poor","1999","general elemantary","132","0.0760546393150562","0.065564401906003","0.0865448767241094","5"
"Poor","1999","higher vocational","24","","","","5"
"Satisfactory","1999","vocational + Abi","132","0.247024722570419","0.209557649393762","0.284491795747077","3"
"Satisfactory","1999","higher education","628","0.310912793074095","0.290452458837336","0.331373127310854","3"
"Satisfactory","1999","in school","46","0.138461769300711","0.100678651682138","0.176244886919284","3"
"Satisfactory","1999","middle vocational","2355","0.347446343342184","0.336256595734084","0.358636090950284","3"
"Satisfactory","1999","inadequately","139","0.338999349103411","0.293942010215854","0.384056687990967","3"
"Satisfactory","1999","higher vocational","291","0.328126702788952","0.296048306288241","0.360205099289664","3"
"Satisfactory","1999","general elemantary","816","0.361114855816616","0.34210698860503","0.380122723028201","3"
"Very good","1999","vocational + Abi","71","0.158142703726671","0.126444619158412","0.189840788294929","1"
"Very good","1999","higher vocational","69","0.0915696066323446","0.0718649135076649","0.111274299757024","1"
"Very good","1999","higher education","189","0.10038774046194","0.087103878425201","0.113671602498678","1"
"Very good","1999","general elemantary","240","0.0780194851914428","0.0674059093291979","0.0886330610536877","1"
"Very good","1999","middle vocational","564","0.0757503392455857","0.069532274420836","0.0819684040703354","1"
"Very good","1999","in school","96","0.328372389170841","0.276998415106315","0.379746363235367","1"
"Very good","1999","inadequately","25","","","","1"
"Good","2000","vocational + Abi","533","0.452459220426764","0.423387090412109","0.481531350441419","2"
"Good","2000","higher education","1790","0.442543774085794","0.42682595468032","0.458261593491267","2"
"Good","2000","higher vocational","789","0.39513842773142","0.373121296326817","0.417155559136024","2"
"Good","2000","middle vocational","5154","0.37826466135693","0.369881731725617","0.386647590988243","2"
"Good","2000","general elemantary","1176","0.289510137346732","0.274639060649997","0.304381214043466","2"
"Good","2000","in school","220","0.455428480882145","0.411689266835106","0.499167694929185","2"
"Good","2000","inadequately","129","0.305783959443874","0.260911977581772","0.350655941305976","2"
"Less good","2000","higher education","340","0.0902143828218171","0.0811483723504933","0.0992803932931409","4"
"Less good","2000","in school","17","","","","4"
"Less good","2000","middle vocational","1603","0.13163312463892","0.125788866657114","0.137477382620727","4"
"Less good","2000","vocational + Abi","124","0.122455244584267","0.103308178848159","0.141602310320376","4"
"Less good","2000","higher vocational","210","0.122785565818194","0.108005218271697","0.137565913364691","4"
"Less good","2000","inadequately","90","0.215127390100473","0.175108225324208","0.255146554876737","4"
"Less good","2000","general elemantary","624","0.191416385052752","0.178516566360151","0.204316203745353","4"
"Poor","2000","higher education","74","0.0224481209654088","0.0177603250511774","0.0271359168796401","5"
"Poor","2000","vocational + Abi","20","","","","5"
"Poor","2000","middle vocational","445","0.039533319918536","0.0361649641623377","0.0429016756747343","5"
"Poor","2000","higher vocational","55","0.0341674493250569","0.0259862814909719","0.0423486171591419","5"
"Poor","2000","in school","3","","","","5"
"Poor","2000","inadequately","31","0.0984245980448256","0.0694128811104434","0.127436314979208","5"
"Poor","2000","general elemantary","228","0.0728742145580747","0.0643513054618221","0.0813971236543273","5"
"Satisfactory","2000","higher education","1139","0.307576843735983","0.292972857955424","0.322180829516542","3"
"Satisfactory","2000","vocational + Abi","286","0.258241054355875","0.23267740009879","0.283804708612959","3"
"Satisfactory","2000","inadequately","135","0.325381359979441","0.279751820796873","0.371010899162008","3"
"Satisfactory","2000","middle vocational","4360","0.35056269398206","0.342314732498624","0.358810655465495","3"
"Satisfactory","2000","higher vocational","654","0.356297403470588","0.334729543118795","0.377865263822381","3"
"Satisfactory","2000","in school","69","0.127566081680939","0.0982661033991653","0.156866059962712","3"
"Satisfactory","2000","general elemantary","1197","0.355529405249523","0.339834059057057","0.371224751441988","3"
"Very good","2000","vocational + Abi","163","0.14332793123869","0.122861052542056","0.163794809935324","1"
"Very good","2000","higher vocational","186","0.0916111536547404","0.078619388054585","0.104602919254896","1"
"Very good","2000","higher education","493","0.137216878390997","0.126328495621947","0.148105261160047","1"
"Very good","2000","general elemantary","348","0.0906698577929188","0.081254781494974","0.100084934090864","1"
"Very good","2000","middle vocational","1294","0.100006200103554","0.0948202494392261","0.105192150767882","1"
"Very good","2000","in school","189","0.379447808202824","0.336829264961692","0.422066351443956","1"
"Very good","2000","inadequately","20","","","","1"
"Good","2001","vocational + Abi","483","0.409720587788304","0.380363604729875","0.439077570846733","2"
"Good","2001","higher education","1625","0.4333985185989","0.417122631512743","0.449674405685058","2"
"Good","2001","higher vocational","680","0.37695430138798","0.353780474794218","0.400128127981741","2"
"Good","2001","middle vocational","4667","0.380408078417111","0.371589226859656","0.389226929974567","2"
"Good","2001","general elemantary","1018","0.292645460595555","0.276673098090028","0.308617823101083","2"
"Good","2001","inadequately","84","0.24754430106299","0.199655084958647","0.295433517167333","2"
"Good","2001","in school","240","0.440660630979759","0.399093731439646","0.482227530519872","2"
"Less good","2001","higher education","349","0.106367666199047","0.0962414695614864","0.116493862836609","4"
"Less good","2001","vocational + Abi","104","0.109308030268331","0.0906816479361041","0.127934412600558","4"
"Less good","2001","in school","20","","","","4"
"Less good","2001","inadequately","84","0.299042337417896","0.248240078082195","0.349844596753597","4"
"Less good","2001","middle vocational","1491","0.136117840379422","0.129888829760777","0.142346850998067","4"
"Less good","2001","higher vocational","196","0.136678167175338","0.120252259201071","0.153104075149604","4"
"Less good","2001","general elemantary","524","0.186392695402862","0.172721655411342","0.200063735394383","4"
"Poor","2001","higher education","83","0.0276643719944302","0.0222775749676671","0.0330511690211933","5"
"Poor","2001","vocational + Abi","22","","","","5"
"Poor","2001","higher vocational","55","0.0368871138282596","0.0278741135407086","0.0459001141158106","5"
"Poor","2001","middle vocational","442","0.0431691123132184","0.0394773099290729","0.046860914697364","5"
"Poor","2001","in school","2","","","","5"
"Poor","2001","inadequately","18","","","","5"
"Poor","2001","general elemantary","170","0.064954553317002","0.0563028653045236","0.0736062413294804","5"
"Satisfactory","2001","vocational + Abi","325","0.318869360937512","0.29104915666572","0.346689565209303","3"
"Satisfactory","2001","higher education","1099","0.300143080609877","0.285089808838697","0.315196352381057","3"
"Satisfactory","2001","in school","66","0.113778692784034","0.0871923025260394","0.140365083042029","3"
"Satisfactory","2001","inadequately","101","0.305665030263321","0.254546519696008","0.356783540830634","3"
"Satisfactory","2001","middle vocational","3921","0.345195234944893","0.336559036657945","0.353831433231842","3"
"Satisfactory","2001","higher vocational","593","0.366685548835486","0.343641963770679","0.389729133900293","3"
"Satisfactory","2001","general elemantary","1062","0.357057209428343","0.340236869880683","0.373877548976002","3"
"Very good","2001","vocational + Abi","144","0.138079527432446","0.117485705427105","0.158673349437787","1"
"Very good","2001","higher vocational","156","0.082794868772937","0.0696175091301493","0.0959722284157246","1"
"Very good","2001","higher education","405","0.132426362597745","0.121293611413632","0.143559113781858","1"
"Very good","2001","in school","220","0.400687276894813","0.359658616544592","0.441715937245033","1"
"Very good","2001","inadequately","25","","","","1"
"Very good","2001","general elemantary","343","0.0989500812562378","0.0884676458869258","0.10943251662555","1"
"Very good","2001","middle vocational","1121","0.0951097339453553","0.0897807460322037","0.100438721858507","1"
"Good","2002","vocational + Abi","547","0.415938008956568","0.387791844403522","0.444084173509615","2"
"Good","2002","higher education","2174","0.447143746656099","0.432720687195152","0.461566806117045","2"
"Good","2002","higher vocational","741","0.392869429740292","0.369987416349048","0.415751443131537","2"
"Good","2002","middle vocational","4636","0.376460351798199","0.36765644938515","0.385264254211247","2"
"Good","2002","general elemantary","975","0.299803195672837","0.283176418845404","0.316429972500269","2"
"Good","2002","in school","291","0.44434574566829","0.405106507216976","0.483584984119604","2"
"Good","2002","inadequately","72","0.240623711964568","0.19082104498283","0.290426378946307","2"
"Less good","2002","higher education","423","0.105952278411768","0.0970240930018448","0.114880463821691","4"
"Less good","2002","vocational + Abi","112","0.128096468749453","0.109012080511945","0.147180856986962","4"
